Club,Season,League,League,Cup,Cup,Continental,Continental,Other,Other,Total,Total
Paulista,2003,5,1,-,-,-,-,17,0,45,2
Paulista,Total,5,1,-,-,-,-,17,0,22,1
Ituano,2003,30,1,4,0,-,-,-,-,34,1
Ituano,Total,30,1,4,0,-,-,-,-,34,1
Paulista,2004,36,3,1,0,-,-,19,1,58,4
Paulista,Total,36,3,1,0,-,-,19,1,58,4
Atlético Paranaense,2005,36,2,3,0,12,1,15,1,66,4
Atlético Paranaense,2006,35,2,3,0,7,0,17,3,62,5
Atlético Paranaense,2007,34,2,7,0,2,0,19,1,62,3
Atlético Paranaense,2008,26,3,2,0,4,1,14,2,46,6
Atlético Paranaense,Total,131,9,15,0,25,2,65,7,236,18
Palmeiras,2009,35,4,-,-,10,0,21,0,66,4
Palmeiras,2010,28,1,8,0,8,1,16,1,60,3
Palmeiras,2011,4,0,7,1,0,0,15,1,26,2
Palmeiras,Total,67,5,15,1,18,1,52,2,152,9
Udinese,2011-12,0,0,0,0,0,0,0,0,0,0
Udinese,Total,0,0,0,0,0,0,0,0,0,0
Career total,Career total,269,19,35,1,43,3,155,10,502,33